Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,SpeedKPH,SpeedMPH,Battery
25.49564,81.86987,91,3.01,2023-03-14T08:14:49.000Z,gps,25.49564,81.86987,43,4.31,0.00,0.0,gps [GPS],00:00:00,0.0,0.0,,,,false,9 / 22,0,0.0,1,1.0,0.7,0.7,-,-,Misc,13:44:49 GMT+05:30,13:44:49.050,0.00,0.00,62
25.49560,81.86982,89,3.18,2023-03-14T08:14:58.000Z,gps,25.49558,81.86981,41,4.71,1.79,230.2,gps [GPS],00:00:09,6.8,0.0,,,,false,15 / 25,9,6.8,1,1.1,0.7,0.8,-,-,Misc,13:44:58 GMT+05:30,13:44:58.020,6.44,4.00,62
25.49554,81.86978,85,3.07,2023-03-14T08:15:00.000Z,gps,25.49552,81.86975,37,4.36,2.35,224.7,gps [GPS],00:00:02,7.5,0.0,,,,false,13 / 24,11,14.3,1,1.0,0.7,0.8,-,-,Misc,13:45:00 GMT+05:30,13:45:00.041,8.46,5.26,62
25.49550,81.86974,81,3.07,2023-03-14T08:15:02.000Z,gps,25.49548,81.86973,33,4.42,2.56,220.2,gps [GPS],00:00:02,5.8,0.0,,,,false,13 / 25,13,20.1,1,1.1,0.7,0.8,-,-,Misc,13:45:02 GMT+05:30,13:45:02.055,9.22,5.73,62
25.49546,81.86971,81,3.03,2023-03-14T08:15:04.000Z,gps,25.49544,81.86969,33,4.17,3.86,220.0,gps [GPS],00:00:02,6.0,0.0,,,,false,14 / 27,15,26.1,1,1.1,0.7,0.8,-,-,Misc,13:45:04 GMT+05:30,13:45:04.082,13.90,8.63,62
25.49540,81.86966,83,3.00,2023-03-14T08:15:06.000Z,gps,25.49537,81.86963,35,4.28,4.74,216.0,gps [GPS],00:00:02,8.3,0.0,,,,false,10 / 25,17,34.4,1,1.1,0.7,0.8,-,-,Misc,13:45:06 GMT+05:30,13:45:06.049,17.06,10.60,62
25.49533,81.86960,82,3.18,2023-03-14T08:15:08.000Z,gps,25.49529,81.86957,35,4.71,4.69,219.3,gps [GPS],00:00:02,9.2,0.0,,,,false,15 / 25,19,43.6,1,1.0,0.7,0.7,-,-,Misc,13:45:08 GMT+05:30,13:45:08.046,16.88,10.49,62
25.49529,81.86957,83,3.05,2023-03-14T08:15:09.000Z,gps,25.49525,81.86955,35,4.26,4.56,216.6,gps [GPS],00:00:01,5.4,0.0,,,,false,18 / 26,20,49.0,1,1.0,0.7,0.7,-,-,Misc,13:45:09 GMT+05:30,13:45:09.059,16.42,10.20,62
25.49525,81.86955,84,2.98,2023-03-14T08:15:10.000Z,gps,25.49522,81.86952,36,4.14,4.06,215.1,gps [GPS],00:00:01,5.0,0.0,,,,false,18 / 26,21,54.0,1,1.0,0.7,0.7,-,-,Misc,13:45:10 GMT+05:30,13:45:10.056,14.62,9.08,62
25.49519,81.86950,86,2.89,2023-03-14T08:15:12.000Z,gps,25.49516,81.86948,38,3.99,3.20,215.1,gps [GPS],00:00:02,8.7,0.0,,,,false,18 / 26,23,62.7,1,1.0,0.7,0.7,-,-,Misc,13:45:12 GMT+05:30,13:45:12.053,11.52,7.16,62
25.49514,81.86946,86,2.81,2023-03-14T08:15:14.000Z,gps,25.49512,81.86945,38,3.83,2.63,214.2,gps [GPS],00:00:02,6.8,0.0,,,,false,18 / 26,25,69.5,1,1.0,0.7,0.7,-,-,Misc,13:45:14 GMT+05:30,13:45:14.032,9.47,5.88,62
25.49510,81.86943,86,2.81,2023-03-14T08:15:16.000Z,gps,25.49508,81.86942,39,3.88,1.73,211.4,gps [GPS],00:00:02,5.2,0.0,,,,false,18 / 26,27,74.7,1,1.0,0.7,0.7,-,-,Misc,13:45:16 GMT+05:30,13:45:16.047,6.23,3.87,62
25.49505,81.86940,85,2.78,2023-03-14T08:15:20.000Z,gps,25.49504,81.86939,37,3.79,1.79,210.4,gps [GPS],00:00:04,6.4,0.0,,,,false,16 / 26,31,81.1,1,1.0,0.7,0.8,-,-,Misc,13:45:20 GMT+05:30,13:45:20.041,6.44,4.00,62
25.49499,81.86937,86,2.78,2023-03-14T08:15:23.000Z,gps,25.49497,81.86935,38,3.79,3.45,206.6,gps [GPS],00:00:03,7.1,0.0,,,,false,18 / 26,34,88.2,1,1.0,0.7,0.8,-,-,Misc,13:45:23 GMT+05:30,13:45:23.036,12.42,7.72,62
25.49493,81.86933,87,2.78,2023-03-14T08:15:25.000Z,gps,25.49490,81.86931,39,3.79,4.93,208.2,gps [GPS],00:00:02,8.0,0.0,,,,false,19 / 26,36,96.2,1,0.9,0.7,0.7,-,-,Misc,13:45:25 GMT+05:30,13:45:25.043,17.75,11.03,62
25.49488,81.86930,87,2.78,2023-03-14T08:15:26.000Z,gps,25.49484,81.86928,39,3.79,5.39,211.6,gps [GPS],00:00:01,5.9,0.0,,,,false,19 / 26,37,102.0,1,1.0,0.7,0.7,-,-,Misc,13:45:26 GMT+05:30,13:45:26.042,19.40,12.06,62
25.49484,81.86927,87,2.78,2023-03-14T08:15:27.000Z,gps,25.49480,81.86924,40,3.79,6.18,218.3,gps [GPS],00:00:01,6.2,0.0,,,,false,18 / 26,38,108.2,1,0.9,0.7,0.7,-,-,Misc,13:45:27 GMT+05:30,13:45:27.031,22.25,13.82,62
25.49478,81.86923,87,2.78,2023-03-14T08:15:28.000Z,gps,25.49474,81.86919,39,3.79,6.94,209.5,gps [GPS],00:00:01,7.2,0.0,,,,false,19 / 26,39,115.4,1,0.9,0.7,0.7,-,-,Misc,13:45:28 GMT+05:30,13:45:28.056,24.98,15.52,62
25.49473,81.86919,88,2.78,2023-03-14T08:15:29.000Z,gps,25.49468,81.86915,40,3.79,7.17,207.9,gps [GPS],00:00:01,7.3,0.0,,,,false,19 / 26,40,122.8,1,0.9,0.7,0.7,-,-,Misc,13:45:29 GMT+05:30,13:45:29.031,25.81,16.04,62
25.49467,81.86914,87,2.78,2023-03-14T08:15:30.000Z,gps,25.49462,81.86911,40,3.79,7.21,208.5,gps [GPS],00:00:01,7.7,0.0,,,,false,19 / 26,41,130.4,1,0.9,0.6,0.6,-,-,Misc,13:45:30 GMT+05:30,13:45:30.071,25.96,16.13,62
25.49461,81.86910,86,2.78,2023-03-14T08:15:31.000Z,gps,25.49457,81.86906,38,3.79,7.25,208.9,gps [GPS],00:00:01,7.6,0.0,,,,false,20 / 26,42,138.1,1,0.9,0.6,0.6,-,-,Misc,13:45:31 GMT+05:30,13:45:31.028,26.10,16.22,62
25.49455,81.86906,85,2.78,2023-03-14T08:15:32.000Z,gps,25.49450,81.86903,37,3.79,7.20,213.0,gps [GPS],00:00:01,7.7,0.0,,,,false,20 / 26,43,145.8,1,0.9,0.6,0.6,-,-,Misc,13:45:32 GMT+05:30,13:45:32.060,25.92,16.11,62
25.49449,81.86903,85,2.78,2023-03-14T08:15:33.000Z,gps,25.49444,81.86900,37,3.79,7.30,210.4,gps [GPS],00:00:01,7.4,0.0,,,,false,20 / 26,44,153.2,1,0.9,0.6,0.6,-,-,Misc,13:45:33 GMT+05:30,13:45:33.038,26.28,16.33,62
25.49444,81.86899,86,2.78,2023-03-14T08:15:34.000Z,gps,25.49440,81.86897,38,3.79,6.95,209.2,gps [GPS],00:00:01,6.8,0.0,,,,false,20 / 26,45,160.1,1,0.8,0.6,0.6,-,-,Misc,13:45:34 GMT+05:30,13:45:34.034,25.02,15.55,62
25.49439,81.86896,86,2.78,2023-03-14T08:15:35.000Z,gps,25.49435,81.86893,38,3.79,6.84,204.7,gps [GPS],00:00:01,6.9,0.0,,,,false,21 / 26,46,166.9,1,0.8,0.6,0.6,-,-,Misc,13:45:35 GMT+05:30,13:45:35.052,24.62,15.30,62
25.49434,81.86892,85,2.78,2023-03-14T08:15:36.000Z,gps,25.49429,81.86888,38,3.79,7.32,207.2,gps [GPS],00:00:01,7.3,0.0,,,,false,21 / 26,47,174.2,1,0.9,0.6,0.6,-,-,Misc,13:45:36 GMT+05:30,13:45:36.034,26.35,16.37,62
25.49428,81.86887,85,2.78,2023-03-14T08:15:37.000Z,gps,25.49423,81.86882,37,3.79,7.48,205.3,gps [GPS],00:00:01,8.1,0.0,,,,false,20 / 26,48,182.3,1,0.9,0.6,0.6,-,-,Misc,13:45:37 GMT+05:30,13:45:37.041,26.93,16.73,62
25.49422,81.86882,85,2.78,2023-03-14T08:15:38.000Z,gps,25.49417,81.86878,37,3.79,7.69,214.7,gps [GPS],00:00:01,8.2,0.0,,,,false,20 / 26,49,190.5,1,0.9,0.6,0.6,-,-,Misc,13:45:38 GMT+05:30,13:45:38.032,27.68,17.20,62
25.49416,81.86877,85,2.78,2023-03-14T08:15:39.000Z,gps,25.49412,81.86873,37,3.79,7.81,215.8,gps [GPS],00:00:01,7.8,0.0,,,,false,20 / 26,50,198.4,1,0.9,0.7,0.7,-,-,Misc,13:45:39 GMT+05:30,13:45:39.041,28.12,17.47,62
25.49411,81.86872,86,2.78,2023-03-14T08:15:40.000Z,gps,25.49406,81.86868,38,3.79,7.58,214.8,gps [GPS],00:00:01,7.8,0.0,,,,false,19 / 26,51,206.2,1,0.9,0.6,0.6,-,-,Misc,13:45:40 GMT+05:30,13:45:40.043,27.29,16.96,61
25.49406,81.86867,86,2.78,2023-03-14T08:15:41.000Z,gps,25.49401,81.86862,39,3.79,7.83,212.4,gps [GPS],00:00:01,7.9,0.0,,,,false,20 / 26,52,214.1,1,0.8,0.6,0.6,-,-,Misc,13:45:41 GMT+05:30,13:45:41.038,28.19,17.52,61
25.49400,81.86862,86,2.81,2023-03-14T08:15:42.000Z,gps,25.49396,81.86858,39,3.86,7.42,208.2,gps [GPS],00:00:01,7.6,0.0,,,,false,21 / 26,53,221.7,1,0.8,0.6,0.6,-,-,Misc,13:45:42 GMT+05:30,13:45:42.041,26.71,16.60,61
25.49395,81.86857,86,2.82,2023-03-14T08:15:43.000Z,gps,25.49389,81.86853,38,3.88,8.18,213.0,gps [GPS],00:00:01,8.1,0.0,,,,false,21 / 26,54,229.8,1,0.8,0.6,0.6,-,-,Misc,13:45:43 GMT+05:30,13:45:43.034,29.45,18.30,61
25.49389,81.86853,86,2.87,2023-03-14T08:15:44.000Z,gps,25.49384,81.86849,39,4.00,7.89,213.4,gps [GPS],00:00:01,7.6,0.0,,,,false,21 / 26,55,237.4,1,0.8,0.6,0.6,-,-,Misc,13:45:44 GMT+05:30,13:45:44.029,28.40,17.65,61
25.49383,81.86848,86,2.87,2023-03-14T08:15:45.000Z,gps,25.49378,81.86844,39,3.97,7.80,218.6,gps [GPS],00:00:01,7.7,0.0,,,,false,21 / 26,56,245.1,1,0.8,0.6,0.6,-,-,Misc,13:45:45 GMT+05:30,13:45:45.030,28.08,17.45,61
